Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,36,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,75,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,13,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,690,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,29,
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"White, non-Latinx",All Sexes,195561,27,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,448,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,231,0.0
11/25/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,919,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,Latinx,Female,408418,45,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,17,
09/30/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,9,
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,4,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,316,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,46,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,Latinx,All Sexes,819518,92,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,149,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,768,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,3524,0.0
01/06/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,131,
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,45,
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,15,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,30-49 yrs,"Asian, non-Latinx",All Sexes,64806,26,0.0
02/03/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,133,
01/20/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,81,
02/17/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,82,
03/23/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,83,
02/24/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,298,
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,"Asian, non-Latinx",Male,91422,34,0.0
02/10/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,288,
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,1361,0.0
02/17/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,290,
02/17/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,977,0.1
11/18/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,104,
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,384,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,2003,0.0
02/10/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,81,
02/03/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,81,
12/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1387,0.0
12/30/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,129,
04/13/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,84,
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,217,0.0
01/20/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,132,
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,479,0.0
03/16/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,140,
03/02/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,304,
04/06/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,84,
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,1197,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,65-74 yrs,All Race/Ethnicities,All Sexes,210964,154,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,6,0.0
12/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1212,0.0
01/27/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,81,
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,91,
12/23/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,129,
11/25/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,107,
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,278,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,1179,0.0
04/13/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,142,
02/24/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,137,
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,71,
09/30/2023,2023-2024,UpToDate_2023_2024,30-49 yrs,"Asian, non-Latinx",All Sexes,64806,1526,0.0
01/13/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,79,
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,242,0.0
12/09/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1141,0.0
12/16/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,123,
10/14/2023,2023-2024,UpToDate_2023_2024,All Ages,Latinx,Unknown,,45,
11/11/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,97,
03/30/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,141,
03/09/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,307,
12/02/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,118,
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,369,0.0
11/11/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,155,
02/10/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,969,0.1
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,61,0.0
03/02/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,993,0.1
03/09/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,82,
03/02/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,82,
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,1,
09/16/2023,2023-2024,UpToDate_2023_2024,50-64 yrs,"Other, non-Latinx",All Sexes,10636,26,0.0
01/06/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1482,0.0
03/16/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,82,
02/24/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,82,
03/09/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,139,
01/27/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,132,
01/13/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,131,
09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,Latinx,All Sexes,68645,35,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,14,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,2,
02/17/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,137,
01/06/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,79,
03/02/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,138,
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,74,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,All Ages,All Race/Ethnicities,Unknown,,52,
04/06/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,141,
03/30/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,84,
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,133,0.0
03/23/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,141,
02/24/2024,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,985,0.1
10/14/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,41,
09/30/2023,2023-2024,UpToDate_2023_2024,50-64 yrs,Latinx,All Sexes,122098,1409,0.0
02/10/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,135,
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,3,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,Latinx,Male,411100,47,0.0
12/09/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,121,
12/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1320,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,36,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,150,0.0
04/20/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,142,
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,79,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,45,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,3,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,13,0.0
04/20/2024,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,84,
09/16/2023,2023-2024,UpToDate_2023_2024,65+ yrs,"White, non-Latinx",All Sexes,126840,144,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,509,0.0
12/02/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,9149,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,44,0.0
12/09/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,274,
11/11/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,232,
11/25/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,252,
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,"Asian, non-Latinx",Unknown,,1,
11/04/2023,2023-2024,UpToDate_2023_2024,All Ages,"Asian, non-Latinx",Unknown,,106,
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,Unknown,All Sexes,,721,
09/30/2023,2023-2024,UpToDate_2023_2024,65+ yrs,Unknown,All Sexes,,215,
09/30/2023,2023-2024,UpToDate_2023_2024,30-49 yrs,All Race/Ethnicities,All Sexes,827253,17087,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,103,0.0
01/20/2024,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,294,
10/07/2023,2023-2024,UpToDate_2023_2024,All Ages,Unknown,Unknown,,5,
